Population Definition Reported,Normalized_Definition
"CD45+/CD3+/CD4/TFH/2,Freq. of,TFH","CD3+, CD4+, CD45+, TFH2"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+","2-, CD11b+, CD14+, CD16+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+,Freq. of,2-CD14+","2-, CD14+, CD16+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/lymono/Lin-DR+/Slan+,Freq. of,WBC","HLA-DR+, Lin-, Slan+, WBC, lymono+, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+","2-, CD14+, CD16+, CD62L+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD40+,Freq. of,CD14+CD16+","2-, CD14+, CD16+, CD40+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD86+,Freq. of,CD14+CD16+","2-, CD14+, CD16+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-,Freq. of,2-CD14+","2-, CD14+, CD16-, CD86+, WBC, mo-, monocyte, singlet"
"ly/CD3+/CD8+/Ki67,Freq. of,CD8+","CD3+, CD8+, Ki67+, lymphocyte"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-","2-, CD11b+, CD14+, CD16-, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+,Freq. of,2-WBC","2-, CD14+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b-,Freq. of,Neutr","2-, CD11b-, CD16+, CD45+, Neu-, Neutr+, Q3, WBC, grans+, singlet"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16-,, CD11b-,Freq. of,Neutr","2-, CD11b-, CD16-, CD45+, Neu-, Neutr+, Q4+, WBC, grans+, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-","2-, CD14+, CD16-, CD62L+, CD86+, WBC, mo-, monocyte, singlet"
"sing/CD45+/CD3+/CD4/Teff,Freq. of,CD4","CD3+, CD4+, CD45+, Teff+, singlet"
"sing/CD45+/CD3+/CD4/non TFH,Freq. of,CD4","CD3+, CD4+, CD45+, TFH, non+, singlet"
"sing/CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4","CD3+, CD4+, CD45+, TFH1, non+, singlet"
"sing/CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1","CD3+, CD4+, CD45+, ICOS+, TFH1, non+, singlet"
"sing/CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17","CD3+, CD4+, CD45+, ICOS+, TFH17, non+, singlet"
"sing/CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2","CD3+, CD4+, CD45+, ICOS+, TFH2, non+, singlet"
"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4","CCR6+, CD3+, CD4+, CD45+, CXCR3+, Q2, TFH, non+, singlet"
"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+","CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, Q2, TFH, non+, singlet"
"sing/CD45+/CD3+/CD8,Freq. of,CD45+","CD3+, CD45+, CD8+, singlet"
"sing/CD45+/CD3+/CD8/CM,Freq. of,CD8","CD3+, CD45+, CD8+, CM+, singlet"
"sing/CD45+/CD3+/CD8/EM,Freq. of,CD8","CD3+, CD45+, CD8+, EM+, singlet"
"sing/CD45+/CD3+/CD8/ICOS,Freq. of,CD8","CD3+, CD45+, CD8+, ICOS+, singlet"
"sing/CD45+/CD3+/CD8/Naive,Freq. of,CD8","CD3+, CD45+, CD8+, Naive+, singlet"
"sing/CD45+/CD3+/CD8/Teff,Freq. of,CD8","CD3+, CD45+, CD8+, Teff+, singlet"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC","2-, CD45+, Neu-, Neutr+, WBC, grans+, singlet"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16-,, CD11b+,Freq. of,Neutr","2-, CD11b+, CD16-, CD45+, Neu-, Neutr+, Q1, WBC, grans+, singlet"
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr","2-, CD11b+, CD16+, CD45+, Neu-, Neutr+, Q2, WBC, grans+, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD40+,Freq. of,CD14+CD16-","2-, CD14+, CD16-, CD40+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+,Freq. of,2-CD14+","2-, CD14+, CD16+, CD86+, WBC, mo-, monocyte, singlet"
"ly/CD3+/CD8+/Q4: HLA-DR,, CD38,Freq. of,CD8+","CD3+, CD38+, CD8+, HLA-DR+, Q4+, lymphocyte"
"ly/CD3+/CD8+/Q10: CD45RA+,, CCR7+,Freq. of,CD8+","CCR7+, CD3+, CD45RA+, CD8+, Q10+, lymphocyte"
"sing/WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD-,Freq. of,CD19+","CD19+, CD27+, IgD-, SCC+, WBC, nQ3+, singlet"
"sing/WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20-,Freq. of,CD19+","CD19+, CD20-, SCC+, WBC, nQ3+, singlet"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+","CD19+, CD27+, IgD+, SCC+, WBC, nQ2+, singlet"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+","CD19+, CD27+, SCC+, WBC, nPlasmablast+, nQ2+, singlet"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/Plasmacell,Freq. of,CD19+","CD19+, CD27+, Plasmacell+, SCC+, WBC, nQ2+, singlet"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+","CD19+, CD27+, SCC+, WBC, nQ2+, singlet"
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+","CD19+, CD20+, SCC+, WBC, nQ2+, singlet"
"sing/WBC/CD19+SCC/CD19+/nQ1: CD27-,, IgD+,Freq. of,CD19+","CD19+, CD27-, IgD+, SCC+, WBC, nQ1+, singlet"
"sing/WBC/CD19+SCC/CD19+/nCD19hi,Freq. of,CD19+","CD19+, SCC+, WBC, nCD19+, singlet"
"sing/WBC/lymono/Lin-DR+/Slan+/Q10: Slan+,, CD86+,Freq. of,Slan+","CD86+, HLA-DR+, Lin-, Q10+, Slan+, WBC, lymono+, singlet"
"sing/WBC/CD19+SCC/CD19+/n transitional,Freq. of Parent","CD19+, SCC+, WBC, n+, singlet, transitional+"
"sing/WBC/CD19+SCC/CD19+,Freq. of,WBC","CD19+, SCC+, WBC, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/dn,Freq. of,2-CD14+","2-, CD14+, CD86+, WBC, dn+, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+","2-, CD14+, CD16+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/lymono/Lin-DR+/Slan+/Q11: Slan+,, CD86-,Freq. of,Slan+","CD86-, HLA-DR+, Lin-, Q11+, Slan+, WBC, lymono+, singlet"
"sing/WBC/lymono/Lin-DR+/Slan+/Q14: Slan+,, CD14+,Freq. of,Slan+","CD14+, HLA-DR+, Lin-, Q14+, Slan+, WBC, lymono+, singlet"
"sing/WBC/lymono/Lin-DR+/Slan+/Q15: Slan+,, CD14-,Freq. of,Slan+","CD14-, HLA-DR+, Lin-, Q15+, Slan+, WBC, lymono+, singlet"
"sing/WBC/lymono/Lin-DR+/Slan+/Q2: Slan+,, CD11b+,Freq. of,Slan+","CD11b+, HLA-DR+, Lin-, Q2, Slan+, WBC, lymono+, singlet"
"sing/WBC/lymono/Lin-DR+/Slan+/Q3: Slan+,, CD11b-,Freq. of,Slan+","CD11b-, HLA-DR+, Lin-, Q3, Slan+, WBC, lymono+, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+","2-, CD14+, CD16+, CD62L+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/lymono/Lin-DR+/Slan+/Q6: Slan+,, CD2+,Freq. of,Slan+","CD2+, HLA-DR+, Lin-, Q6+, Slan+, WBC, lymono+, singlet"
"ly/CD3+/CD8+/Q2: HLA-DR+,, CD38+,Freq. of,CD8+","CD3+, CD38+, CD8+, HLA-DR+, Q2, lymphocyte"
"ly/CD3+/CD8+/Q11: CD45RA+,, CCR7,Freq. of,CD8+","CCR7+, CD3+, CD45RA+, CD8+, Q11+, lymphocyte"
"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH","CCR6+, CD3+, CD4+, CD45+, CXCR3+, Q2, TFH, singlet"
"ly/CD3+/CD8+/Q3: HLA-DR+,, CD38,Freq. of,CD8+","CD3+, CD38+, CD8+, HLA-DR+, Q3, lymphocyte"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+","2-, CD14+, CD16+, CD40+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+","2-, CD11b+, CD14+, CD16+, CD86+, WBC, mo-, monocyte, singlet"
"sing/WBC/CD19+SCC/CD19+/nQ4: CD27-,, IgD-,Freq. of,CD19+","CD19+, CD27-, IgD-, SCC+, WBC, nQ4+, singlet"
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD86+,Freq. of,CD14+CD16-","2-, CD14+, CD16-, CD86+, WBC, mo-, monocyte, singlet"
"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+","CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, Q2, TFH, singlet"
"sing/CD45+/CD3+/CD4+/CD127loCD25+,Freq. of,CD4+","CD127+, CD25+, CD3+, CD4+, CD45+, singlet"
"sing/CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH","CD3+, CD4+, CD45+, ICOS+, TFH, singlet"
"sing/CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of Parent","CD3+, CD4+, CD45+, ICOS+, TFH2, singlet"
"ly/CD3+/CD8+/bcl2,Freq. of,CD8+","CD3+, CD8+, bcl2+, lymphocyte"
"ly/CD3+/CD4+/bcl2,Freq. of,CD4+","CD3+, CD4+, bcl2+, lymphocyte"
"ly/CD3+/CD4+/Q9: CD45RA,, CCR7+,Freq. of,CD4+","CCR7+, CD3+, CD4+, CD45RA+, Q9+, lymphocyte"
"ly/CD3+/CD4+/Q8: K1-67,, bcl2di,Freq. of,CD4+","CD3+, CD4+, K1-67, Q8+, bcl2+, lymphocyte"
"ly/CD3+/CD4+/Q7: K1-67+,, bcl2di,Freq. of,CD4+","CD3+, CD4+, K1-67+, Q7+, bcl2+, lymphocyte"
"ly/CD3+/CD8+/Q12: CD45RA,, CCR7,Freq. of,CD8+","CCR7+, CD3+, CD45RA+, CD8+, Q12+, lymphocyte"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+","BDCA-2+, CD2-, F+, HLA-DR+, Lin2-, NK, Q3, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+","BDCA-2+, CD2+, F+, HLA-DR+, Lin2-, NK, Q3, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+,Freq. of,sWBC","BDCA-2+, F+, HLA-DR+, Lin2-, NK, Q3, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q4: CD2-,, CD86-,Freq. of,Q1:BDCA-3+","BDCA-3+, CD2-, CD86-, F+, HLA-DR+, Lin2-, NK, Q1, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q3: CD2+,, CD86-,Freq. of,Q1:BDCA-3+","BDCA-3+, CD2+, CD86-, F+, HLA-DR+, Lin2-, NK, Q1, Q3, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q2: CD2+,, CD86+,Freq. of,Q1:BDCA-3+","BDCA-3+, CD2+, CD86+, F+, HLA-DR+, Lin2-, NK, Q1, Q2, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q1: CD2-,, CD86+,Freq. of,Q1:BDCA-3+","BDCA-3+, CD2-, CD86+, F+, HLA-DR+, Lin2-, NK, Q1, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/CD2-,Freq. of,Q1:BDCA-3+","BDCA-3+, CD2-, F+, HLA-DR+, Lin2-, NK, Q1, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/CD2+,Freq. of,Q1:BDCA-3+","BDCA-3+, CD2+, F+, HLA-DR+, Lin2-, NK, Q1, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+,Freq. of,sWBC","BDCA-3+, F+, HLA-DR+, Lin2-, NK, Q1, grans-, minus+, sWBC+, sing-"
"ly/CD3+/CD4+/Q6: K1-67+,, bcl2bri,Freq. of,CD4+","CD3+, CD4+, K1-67+, Q6+, bcl2+, lymphocyte"
"ly/CD3+/CD4+/Q5: K1-67,, bcl2bri,Freq. of,CD4+","CD3+, CD4+, K1-67, Q5+, bcl2+, lymphocyte"
"ly/CD3+/CD4+/Q4: HLA-DR,, CD38,Freq. of,CD4+","CD3+, CD38+, CD4+, HLA-DR+, Q4+, lymphocyte"
"ly/CD3+/CD4+/Q3: HLA-DR+,, CD38,Freq. of,CD4+","CD3+, CD38+, CD4+, HLA-DR+, Q3, lymphocyte"
"ly/CD3+/CD4+/Q2: HLA-DR+,, CD38+,Freq. of,CD4+","CD3+, CD38+, CD4+, HLA-DR+, Q2, lymphocyte"
"ly/CD3+/CD4+/Q1: HLA-DR,, CD38+,Freq. of,CD4+","CD3+, CD38+, CD4+, HLA-DR+, Q1, lymphocyte"
"ly/CD3+/CD4+/Q12: CD45RA,, CCR7,Freq. of,CD4+","CCR7+, CD3+, CD4+, CD45RA+, Q12+, lymphocyte"
"ly/CD3+/CD4+/Q11: CD45RA+,, CCR7,Freq. of,CD4+","CCR7+, CD3+, CD4+, CD45RA+, Q11+, lymphocyte"
"ly/CD3+/CD4+/Q10: CD45RA+,, CCR7+,Freq. of,CD4+","CCR7+, CD3+, CD4+, CD45RA+, Q10+, lymphocyte"
"ly/CD3+/CD4+/Ki67,Freq. of,CD4+","CD3+, CD4+, Ki67+, lymphocyte"
"ly/CD3+/CD4+/GranB,Freq. of,CD4+","CD3+, CD4+, GranB+, lymphocyte"
"ly/CD3+/CD4+/DR,Freq. of,CD4+","CD3+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/CD38bri,Freq. of,CD4+","CD3+, CD38+, CD4+, lymphocyte"
"ly/CD3+/CD8+/Q9: CD45RA,, CCR7+,Freq. of,CD8+","CCR7+, CD3+, CD45RA+, CD8+, Q9+, lymphocyte"
"ly/CD3+/CD8+/CD38bri,Freq. of,CD8+","CD3+, CD38+, CD8+, lymphocyte"
"ly/CD3+/CD8+/Q8: K1-67,, bcl2di,Freq. of,CD8+","CD3+, CD8+, K1-67, Q8+, bcl2+, lymphocyte"
"sing/CD45+/CD3+/CD4/CM,Freq. of,CD4","CD3+, CD4+, CD45+, CM+, singlet"
"sing/CD45+/CD3+/CD4/TFH/2,Freq. of,TFH","CD3+, CD4+, CD45+, TFH2, singlet"
"sing/CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of Parent","CD3+, CD4+, CD45+, ICOS+, TFH17, singlet"
"ly/CD3+/CD8+/Q5: K1-67,, bcl2bri,Freq. of,CD8+","CD3+, CD8+, K1-67, Q5+, bcl2+, lymphocyte"
"ly/CD3+/CD8+/GranB,Freq. of,CD8+","CD3+, CD8+, GranB+, lymphocyte"
"ly/CD3+/CD8+/Q6: K1-67+,, bcl2bri,Freq. of,CD8+","CD3+, CD8+, K1-67+, Q6+, bcl2+, lymphocyte"
"ly/CD3+/CD8+/Q7: K1-67+,, bcl2di,Freq. of,CD8+","CD3+, CD8+, K1-67+, Q7+, bcl2+, lymphocyte"
"sing/CD45+/CD3+/CD4/TFH/17,Freq. of,TFH","CD3+, CD4+, CD45+, TFH17, singlet"
"sing/CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of Parent","CD3+, CD4+, CD45+, ICOS+, TFH1, singlet"
"sing/CD45+/CD3+/CD4/TFH/1,Freq. of,TFH","CD3+, CD4+, CD45+, TFH1, singlet"
"sing/CD45+/CD3+/CD4/TFH,Freq. of,CD4","CD3+, CD4+, CD45+, TFH, singlet"
"sing/CD45+/CD3+/CD4/Naive,Freq. of,CD4","CD3+, CD4+, CD45+, Naive+, singlet"
"sing/CD45+/CD3+/CD4/ICOS,Freq. of,CD4","CD3+, CD4+, CD45+, ICOS+, singlet"
"sing/CD45+/CD3+/CD4/EM,Freq. of,CD4","CD3+, CD4+, CD45+, EM+, singlet"
"sing/CD45+/CD3+/CD4,Freq. of,CD45+","CD3+, CD4+, CD45+, singlet"
"ly/CD3+/CD8+/DR,Freq. of,CD8+","CD3+, CD8+, HLA-DR+, lymphocyte"
"sing/CD45+/CD3+/CD4+,Freq. of,CD45+","CD3+, CD4+, CD45+, singlet"
"sing/CD45+/CD3+,Freq. of,CD45+","CD3+, CD45+, singlet"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q4: CD2-,, CD86-,Freq. of,CD1c+","BDCA-2-, BDCA-3-, CD1c+, CD2-, CD86-, F+, HLA-DR+, Lin2-, NK, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q3: CD2+,, CD86-,Freq. of,CD1c+","BDCA-2-, BDCA-3-, CD1c+, CD2+, CD86-, F+, HLA-DR+, Lin2-, NK, Q3, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q2: CD2+,, CD86+,Freq. of,CD1c+","BDCA-2-, BDCA-3-, CD1c+, CD2+, CD86+, F+, HLA-DR+, Lin2-, NK, Q2, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q1: CD2-,, CD86+,Freq. of,CD1c+","BDCA-2-, BDCA-3-, CD1c+, CD2-, CD86+, F+, HLA-DR+, Lin2-, NK, Q1, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2-,Freq. of,CD1c+","BDCA-2-, BDCA-3-, CD1c+, CD2-, F+, HLA-DR+, Lin2-, NK, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2+,Freq. of,CD1c+","BDCA-2-, BDCA-3-, CD1c+, CD2+, F+, HLA-DR+, Lin2-, NK, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+,Freq. of,sWBC","BDCA-2-, BDCA-3-, CD1c+, F+, HLA-DR+, Lin2-, NK, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q4: CD2-,, CD86-,Freq. of,Q3: BDCA-2+","BDCA-2+, CD2-, CD86-, F+, HLA-DR+, Lin2-, NK, Q3, Q4+, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q3: CD2+,, CD86-,Freq. of,Q3: BDCA-2+","BDCA-2+, CD2+, CD86-, F+, HLA-DR+, Lin2-, NK, Q3, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q2: CD2+,, CD86+,Freq. of,Q3: BDCA-2+","BDCA-2+, CD2+, CD86+, F+, HLA-DR+, Lin2-, NK, Q2, Q3, grans-, minus+, sWBC+, sing-"
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q1: CD2-,, CD86+,Freq. of,Q3: BDCA-2+","BDCA-2+, CD2-, CD86+, F+, HLA-DR+, Lin2-, NK, Q1, Q3, grans-, minus+, sWBC+, sing-"
"ly/CD3+/CD8+/Q1: HLA-DR,, CD38+,Freq. of,CD8+","CD3+, CD38+, CD8+, HLA-DR+, Q1, lymphocyte"
"sing/WBC/lymono/Lin-DR+/Slan+/Q7: Slan+,, CD2-,Freq. of,Slan+","CD2-, HLA-DR+, Lin-, Q7+, Slan+, WBC, lymono+, singlet"
"CD16hi, CD11b+ gran","CD11b+, CD16+, gran"
"CD16lo, CD11b- gran","CD11b-, CD16+, gran"
"CD16lo, CD11b+ gran","CD11b+, CD16+, gran"
"CD16hi, CD11b- gran","CD11b-, CD16+, gran"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD19+, CD3-, CD14-, CD38+, CD24+, HLADR+","CD14-, CD19+, CD24+, CD3-, CD38+, HLA-DR+"
"CD19+, CD3-, CD14-, CD38+, CD20-, HLADR+","CD14-, CD19+, CD20-, CD3-, CD38+, HLA-DR+"
"CD19+, CD3-, CD14-, CD27-, IgD-, HLADR+","CD14-, CD19+, CD27-, CD3-, HLA-DR+, IgD-"
"CD19+, CD3-, CD14-, CD27-, IgD+, HLADR+","CD14-, CD19+, CD27-, CD3-, HLA-DR+, IgD+"
"CD19+, CD3-, CD14-, CD27+, IgD-, HLADR+","CD14-, CD19+, CD27+, CD3-, HLA-DR+, IgD-"
"CD19+, CD3-, CD14-, CD27+, IgD+, HLADR+","CD14-, CD19+, CD27+, CD3-, HLA-DR+, IgD+"
"CD19+, CD3-, CD14-, CD27+, CD138+, HLADR+","CD138+, CD14-, CD19+, CD27+, CD3-, HLA-DR+"
"CD19+, CD3-, CD14-, CD27+, HLADR+","CD14-, CD19+, CD27+, CD3-, HLA-DR+"
"CD19+, CD3-, CD14-, CD20-, HLADR+","CD14-, CD19+, CD20-, CD3-, HLA-DR+"
"CD19+, CD3-, CD14-, CD20+, HLADR+","CD14-, CD19+, CD20+, CD3-, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD1c+","BDCA2-, CD11c+, CD1c+, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+","BDCA2-, BDCA3+, CD11c+, HLA-DR+, Lin1-"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN-","CD14+, CD16+, HLA-DR+, SLAN-, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN+","CD14+, CD16+, HLA-DR+, SLAN+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR-","CD14+, CD16+, HLA-DR+, HLA-DR-, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR+","CD14+, CD16+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86+","CD14+, CD16+, CD86+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1-","CD14+, CD16+, CX3CR1-, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1+","CD14+, CD16+, CX3CR1+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86-","CD14+, CD16+, CD86-, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b-","CD11b-, CD14+, CD16+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b-","CD11b-, CD14+, CD16-, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b+","CD11b+, CD14+, CD16-, HLA-DR+, WBC, monocyte, singlet"
Singlet/WBC/Neutro/CD16+,"CD16+, WBC, neutro, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86+","CD14+, CD16-, CD86+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86-","CD14+, CD16-, CD86-, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1+","CD14+, CD16-, CX3CR1+, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1-","CD14+, CD16-, CX3CR1-, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR+","CD14+, CD16-, HLA-DR+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR-","CD14+, CD16-, HLA-DR+, HLA-DR-, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN+","CD14+, CD16-, HLA-DR+, SLAN+, WBC, monocyte, singlet"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN-","CD14+, CD16-, HLA-DR+, SLAN-, WBC, monocyte, singlet"
Singlet/WBC/Mono/CD14+/HLADR/CD40+,"CD14+, CD40+, HLA-DR+, WBC, monocyte, singlet"
Singlet/WBC/Mono/SLAN+,"SLAN+, WBC, monocyte, singlet"
Singlet/WBC/Neutro,"WBC, neutro, singlet"
